from,to,why,age,file
/calculadora-ahorro-led-vs-incandescente,/calculadora-antiguedad-laboral,hermana-con-organico,102,src/content/calcs/calculadora-ahorro-led-vs-incandescente.json
/calculadora-valor-presente-neto-vpn,/calculadora-actualizacion-inflacion-ipc,hermana-con-organico,102,src/content/calcs/calculadora-valor-presente-neto-vpn.json
/argentina/san-juan/calculadora-patente-auto-provincia,/argentina/caba/calculadora-impuesto-sellos-inmueble-contrato,hermana-con-organico,101,src/content/calcs/calculadora-patente-auto-provincia.json
/calculadora-burn-rate-runway-startup,/calculadora-derechos-tv-mundial-2026-argentina-espana-mexico-brasil,hermana-con-organico,101,src/content/calcs/burn-rate-runway.json
/calculadora-presupuesto-diario-mochilero-ciudad,/calculadora-millas-avianca-lifemiles,hermana-con-organico,101,src/content/calcs/presupuesto-diario-mochilero-ciudad.json
/calculadora-puntaje-ingreso-universidad,/calculadora-palabras-paginas-conversor,hermana-con-organico,101,src/content/calcs/puntaje-ingreso-universidad.json
/calculadora-tasa-abandono-carrito-ecommerce,/calculadora-derechos-tv-mundial-2026-argentina-espana-mexico-brasil,hermana-con-organico,101,src/content/calcs/tasa-abandono-carrito.json
/en/body-fat-calculator,/en/abdominal-circumference-cardiovascular-risk,hermana-con-organico,101,src/content/calcs-en/grasa-corporal.json
/en/calories-burned-calculator,/en/one-rep-max-calculator,hermana-con-organico,101,src/content/calcs-en/calorias-deporte.json
/en/profit-margin-calculator,/en,home-locale,101,src/content/calcs-en/margen-ganancia.json
/calculadora-costo-hijo-primer-ano,/calculadora-antiguedad-laboral,hermana-con-organico,100,src/content/calcs/costo-hijo-primer-ano.json
/calculadora-crecimiento-seguidores-proyeccion,/calculadora-stream-bitrate-calidad,hermana-con-organico,100,src/content/calcs/crecimiento-seguidores-proyeccion.json
/calculadora-deuda-bola-nieve,/calculadora-actualizacion-inflacion-ipc,hermana-con-organico,100,src/content/calcs/deuda-bola-nieve.json
/calculadora-impuesto-ganancia-cripto-argentina-2026,/calculadora-actualizacion-inflacion-ipc,hermana-con-organico,100,src/content/calcs/impuesto-ganancia-cripto-argentina.json
/calculadora-macros-objetivo-fitness,/calculadora-mundial-2026-bonus-jugador-fase,hermana-con-organico,100,src/content/calcs/macros-objetivo-fitness.json
/calculadora-prestamo-cuota-mensual-mexico,/calculadora-actualizacion-inflacion-ipc,hermana-con-organico,100,src/content/calcs/prestamo-cuota-mexico.json
/calculadora-rebalanceo-portafolio-target,/calculadora-actualizacion-inflacion-ipc,hermana-con-organico,100,src/content/calcs/rebalanceo-portafolio.json
/calculadora-regresion-lineal-simple,/conversor-numero-a-letras-cantidad,hermana-con-organico,100,src/content/calcs/regresion-lineal-simple.json
/calculadora-roi-publicidad-redes,/calculadora-stream-bitrate-calidad,hermana-con-organico,100,src/content/calcs/roi-publicidad-redes.json
/comparar/plazo-fijo-vs-fci-vs-dolar,/comparar/iol-vs-balanz-vs-cocos-vs-bull-broker-bolsa,hermana-con-organico,100,src/content/comparaciones/plazo-fijo-vs-fci-vs-dolar.json
/glosario/bcra,/glosario/uva,hermana-con-organico,100,src/content/glosario/bcra.json
/blog/como-ahorrar-en-dolares-argentina,/blog/salario-minimo-mexico-2027-que-se-espera,hermana-con-organico,99,src/content/blog/como-ahorrar-en-dolares-argentina.json
/calculadora-ciclo-circadiano-estudio,/calculadora-palabras-paginas-conversor,hermana-con-organico,99,src/content/calcs/calculadora-ciclo-circadiano-estudio.json
/calculadora-costo-hora-ilustrador-digital,/calculadora-derechos-tv-mundial-2026-argentina-espana-mexico-brasil,hermana-con-organico,99,src/content/calcs/calculadora-costo-hora-ilustrador-digital.json
/calculadora-evaporation-rate-boil,/calculadora-porcion-arroz-gramos-personas,hermana-con-organico,99,src/content/calcs/calculadora-evaporation-rate-boil.json
/calculadora-horas-aprender-ingles-nivel-c1,/calculadora-palabras-paginas-conversor,hermana-con-organico,99,src/content/calcs/calculadora-horas-aprender-ingles-nivel-c1.json
/calculadora-presupuesto-viaje-santiago-chile,/calculadora-millas-avianca-lifemiles,hermana-con-organico,99,src/content/calcs/calculadora-presupuesto-viaje-santiago-chile.json
/calculadora-puntaje-delf-frances,/calculadora-palabras-paginas-conversor,hermana-con-organico,99,src/content/calcs/calculadora-puntaje-delf-frances.json
/calculadora-speaking-hours-necesarias,/calculadora-palabras-paginas-conversor,hermana-con-organico,99,src/content/calcs/calculadora-speaking-hours-necesarias.json
/calculadora-tiempo-ensayo-universitario,/calculadora-palabras-paginas-conversor,hermana-con-organico,99,src/content/calcs/calculadora-tiempo-ensayo-universitario.json
/calculadora-vacunas-obligatorias-destino-viaje,/calculadora-millas-avianca-lifemiles,hermana-con-organico,99,src/content/calcs/calculadora-vacunas-obligatorias-destino-viaje.json
/calculadora-youtube-premium-split-payout,/calculadora-costo-por-lead-cpl-marketing,hermana-con-organico,99,src/content/calcs/calculadora-youtube-premium-split-payout.json
/calculadora-youtube-retention-rate-benchmark,/calculadora-costo-por-lead-cpl-marketing,hermana-con-organico,99,src/content/calcs/calculadora-youtube-retention-rate-benchmark.json
/en/cycling-calories-calculator,/en/one-rep-max-calculator,hermana-con-organico,99,src/content/calcs-en/calorias-ciclismo.json
/en/simple-interest-calculator,/en,home-locale,99,src/content/calcs-en/interes-simple.json
/en/split-travel-expenses,/en,home-locale,99,src/content/calcs-en/viaje-dividir.json
