slug,locale,silo,title,scenarios,variables,sources,publishers,faq,routes,depthScore,depthPercentile,peerHubs,lastReviewed
"alquiler","es","alquiler","Antes de firmar, hacé todas las cuentas.","11","14","10","7","24","2","68","10","30","2026-08-31"
"alquiler/aumento-de-alquiler","es","alquiler","¿Cuánto vas a pagar en tu próximo ajuste?","6","7","5","4","12","5","44","41","211","2026-08-16"
"alquiler/entrar-a-un-alquiler","es","alquiler","La llave cuesta más que el primer mes.","5","7","5","4","12","9","46","52","211","2026-07-27"
"auto","es","auto","Tu auto cuesta más que la nafta.","42","97","57","43","119","10","315","77","30","2026-08-31"
"auto/auto-o-uber","es","auto","¿Te conviene tener auto o pedir un viaje?","7","12","5","4","12","6","52","74","211","2026-07-27"
"auto/consumo","es","auto","Descubrí cuántogasta realmentetu auto.","1","10","5","4","12","7","39","25","211","2026-07-27"
"auto/costo-anual","es","auto","Tu auto cuesta incluso cuando está estacionado.","4","9","5","5","12","8","45","45","211","2026-07-27"
"auto/electrico-vs-nafta","es","auto","¿El eléctrico se paga solo? Hacé la cuenta completa.","4","11","7","7","12","7","50","68","211","2026-07-27"
"auto/ficha-tecnica","es","auto","¿Qué me dicen los números de la ficha técnica?","6","14","6","5","13","9","57","87","211","2026-07-28"
"auto/mantenimiento","es","auto","Sabé qué tocahacer y cuándo,sin adivinar.","6","12","5","5","12","7","51","70","211","2026-07-27"
"auto/nafta-y-peajes","es","auto","Antes de salir,sabé cuánto vasa gastar.","1","13","6","6","11","8","45","45","211","2026-08-07"
"auto/patente","es","auto","Calculá tu patentey entendé cadapeso que pagás.","4","4","6","6","12","5","39","25","211","2026-07-27"
"auto/tramites","es","auto","Sabé qué llevar, cuánto pagar y qué sigue.","4","7","7","6","11","7","46","52","211","2026-07-27"
"auto/vtv","es","auto","¿Cuándo me toca la VTV y cuánto me sale?","5","5","5","5","12","3","38","19","211","2026-07-27"
"bebes","es","bebes","Ubicá su edad. Acompañá su propio ritmo.","4","6","5","3","11","1","35","3","30","2026-08-31"
"bebes/crecimiento","es","bebes","¿Mi bebé crece bien?","4","6","5","3","11","13","47","56","211","2026-07-27"
"ciencia","es","ciencia","De la pregunta al resultado, sin saltarte el método.","33","105","33","21","86","7","254","63","30","2026-08-31"
"ciencia/movimiento-y-fuerzas","es","ciencia","¿Cuánto tarda, cuán lejos llega y con cuánta fuerza?","5","17","4","4","12","11","56","85","211","2026-07-27"
"ciencia/ondas-luz-y-sonido","es","ciencia","¿Cómo se comporta esta onda?","5","15","5","5","12","5","50","68","211","2026-07-27"
"ciencia/ph-y-equilibrio-quimico","es","ciencia","¿Cuál es el pH y hasta dónde llega la reacción?","5","19","4","4","12","7","54","81","211","2026-07-27"
"ciencia/planetas-y-viaje-espacial","es","ciencia","¿Cuánto pesaría, cuánto tardaría, cuán lejos está?","5","9","5","5","12","6","45","45","211","2026-07-27"
"ciencia/presion-y-gases","es","ciencia","Presión y gases, explicado con números.","4","15","5","5","12","14","57","87","211","2026-08-07"
"ciencia/quimica-de-soluciones","es","ciencia","Prepará solucionescon la concentraciónexacta.","5","23","5","5","12","9","62","95","211","2026-07-27"
"ciencia/sol-luna-y-mareas","es","ciencia","¿A qué hora amanece, qué fase lunar hay y cuándo sube la marea?","4","7","5","5","14","4","39","25","211","2026-07-27"
"cl","es-CL","cl","Tus números de Chile,claros y al día.","110","292","187","50","300","31","927","100","7","2026-08-31"
"cl/auto","es-CL","auto","Auto","8","31","20","12","26","2","99","14","7","2026-08-31"
"cl/auto/cuanto-cuesta-tener-auto","es-CL","auto","¿Cuánto me cuesta al año tener el auto?","4","15","11","7","14","7","62","88","25","2026-07-28"
"cl/auto/cuanto-gasto-en-el-viaje","es-CL","auto","¿Cuánto me sale este viaje en auto?","4","16","9","7","12","4","56","64","25","2026-07-28"
"cl/dinero","es-CL","dinero","Dinero","18","43","25","11","47","4","143","29","7","2026-08-31"
"cl/dinero/cuanta-pension-voy-a-tener","es-CL","dinero","¿Con cuánto me voy a jubilar?","5","16","7","5","12","9","59","80","25","2026-07-28"
"cl/dinero/donde-invierto-mis-ahorros","es-CL","dinero","¿Dónde conviene que tenga mi plata?","5","15","7","5","12","9","58","76","25","2026-07-28"
"cl/dinero/pedir-un-credito","es-CL","dinero","¿Cuánto me va a costar de verdad este crédito?","4","9","6","4","12","4","43","28","25","2026-07-28"
